YEAR,Precipitation Anomaly,Trend
1948,-10.4,
1949,-10.77,
1950,-10.14,
1951,-8.97,
1952,-9.38,
1953,-6.72,-10
1954,-9.38,-9.42
1955,-10.59,-8.97
1956,-12.2,-8.86
1957,-10.92,-8.42
1958,-10.53,-7.78
1959,-4.04,-7.26
1960,-5.77,-6.86
1961,-9.01,-6.11
1962,-4.14,-5.31
1963,-2.25,-4.39
1964,-1.02,-3.79
1965,-5.05,-3.44
1966,-2.31,-2.65
1967,-3.34,-2.01
1968,-0.8,-1.25
1969,-3.97,-0.68
1970,-0.13,-0.57
1971,2.9,-0.11
1972,-1.98,0.31
1973,4.2,0.32
1974,4.07,0.56
1975,0.2,1.13
1976,-0.07,1.56
1977,2.34,1.47
1978,-3.24,1.96
1979,1.82,1.88
1980,2.38,1.78
1981,4.51,1.84
1982,2.01,1.91
1983,3.36,2.25
1984,3.37,2.41
1985,2.92,2.68
1986,0.85,3.11
1987,0.75,2.78
1988,6.04,2.76
1989,-1.5,2.55
1990,4.77,2.44
1991,7.11,3.06
1992,0.89,3.45
1993,1.79,3.29
1994,1.01,3.39
1995,2.18,3.82
1996,9.8,3.48
1997,5.15,3.03
1998,-1.05,3.46
1999,7.12,3.84
2000,3.26,5.17
2001,1.03,5.29
2002,2.13,5.18
2003,5.57,5.21
2004,5.99,5.75
2005,15.63,6.1
2006,3.59,6.48
2007,8.54,7.16
2008,5.44,
2009,4.95,
2010,10.98,
2011,7.39,
2012,8.58,
