DATE,SUP_EVAP,MHG_EVAP,ERI_EVAP,ONT_EVAP,SUP_PREC,MHG_PREC,ERI_PREC,ONT_PREC,SUP_RUNO,MHG_RUNO,ERI_RUNO,ONT_RUNO,SUP_NBS,MHG_NBS,ERI_NBS,ONT_NBS
1900-01-01,,,,,39.9,38.5,55.1,78.5,,,,,,,,
1900-02-01,,,,,36.6,82.5,108.5,117.6,,,,,,,,
1900-03-01,,,,,27.9,36.8,65.8,83.3,,,,,,,,
1900-04-01,,,,,39.9,43.8,43.2,39.6,,,,,,,,
1900-05-01,,,,,28.2,67.6,47.8,34.5,,,,,,,,
1900-06-01,,,,,59.9,56,69.6,58.9,,,,,,,,
1900-07-01,,,,,96.8,113.2,125.7,92.2,,,,,,,,
1900-08-01,,,,,133.1,77.5,73.7,44.7,,,,,,,,
1900-09-01,,,,,187.5,94.7,49.3,71.4,,,,,,,,
1900-10-01,,,,,70.1,67.2,55.4,70.4,,,,,,,,
1900-11-01,,,,,48.8,94.1,100.3,119.4,,,,,,,,
1900-12-01,,,,,27.9,30.8,22.9,55.4,,,,,,,,
1901-01-01,,,,,34.8,45.8,49.3,62.7,,,,115.9,,,,
1901-02-01,,,,,16.8,37,43.7,46.7,,,,70.1,,,,
1901-03-01,,,,,57.7,68.4,66,82.8,,,,201,,,,
1901-04-01,,,,,30,30,69.1,105.9,,,,383.5,,,,
1901-05-01,,,,,39.9,60.6,75.9,95,,,,232.1,,,,
1901-06-01,,,,,107.7,59.6,61.5,69.1,,,,147.8,,,,
1901-07-01,,,,,124.5,103.1,77.7,91.7,,,,93.7,,,,
1901-08-01,,,,,64.3,57.9,79.5,78.7,,,,59.5,,,,
1901-09-01,,,,,69.3,68.4,65.8,80.8,,,,63.4,,,,
1901-10-01,,,,,87.9,71.9,31.8,37.6,,,,66,,,,
1901-11-01,,,,,46.2,46.2,58.2,56.9,,,,75.1,,,,
1901-12-01,,,,,45.5,60.3,100.1,111.8,,,,190.4,,,,
1902-01-01,,,,,32.5,26,39.9,64.5,,,,184.4,,,,
1902-02-01,,,,,31.5,39.4,28.2,62.5,,,,119.2,,,,
1902-03-01,,,,,19.6,68.8,57.7,64.5,,,,392.3,,,,
1902-04-01,,,,,44.7,46.8,41.1,75.9,,,,252.7,,,,
1902-05-01,,,,,64.3,93.1,94,55.9,,,,139,,,,
1902-06-01,,,,,93.5,105.6,151.9,100.1,,,,127.3,,,,
1902-07-01,,,,,72.6,127.3,156,146,,,,170.5,,,,
1902-08-01,,,,,60.2,48.8,34,51.8,,,,148.1,,,,
1902-09-01,,,,,67.1,85,124,73.9,,,,62.6,,,,
1902-10-01,,,,,67.1,65.1,59.9,72.9,,,,98.4,,,,
1902-11-01,,,,,71.9,63.3,43.9,43.2,,,,118.7,,,,
1902-12-01,,,,,54.4,55.3,69.6,72.1,,,,108.3,,,,
1903-01-01,,,,,30.7,51.4,51.1,71.4,,,,194,,,,
1903-02-01,,,,,31.5,54.6,83.6,72.1,,,,189.6,,,,
1903-03-01,,,,,56.4,61.4,62.7,70.6,,,,358.9,,,,
1903-04-01,,,,,52.8,54.7,100.8,79.8,,,,333.2,,,,
1903-05-01,,,,,97.8,62.6,49.3,29.7,,,,138.4,,,,
1903-06-01,,,,,39.4,58,104.9,126,,,,92.1,,,,
1903-07-01,,,,,108.7,96.6,138.9,85.6,,,,89.9,,,,
1903-08-01,,,,,78.2,109.8,117.9,114.6,,,,74.1,,,,
1903-09-01,,,,,101.3,90.9,47.8,23.1,,,,88.8,,,,
1903-10-01,,,,,78.2,63.5,61.5,71.6,,,,167.9,,,,
1903-11-01,,,,,50.8,47.5,41.4,47,,,,166.3,,,,
1903-12-01,,,,,43.4,69.5,58.7,78.2,,,,135.5,,,,
1904-01-01,,,,,30.5,41.5,105.9,91.7,,,,168.9,,,,
1904-02-01,,,,,30,54.3,71.6,81.3,,,,248.6,,,,
1904-03-01,,,,,47,82.3,101.1,86.4,,,,463.4,,,,
1904-04-01,,,,,29.5,53.7,67.8,85.1,,,,614.2,,,,
1904-05-01,,,,,94.7,107.2,80.8,90.2,,,,355.3,,,,
1904-06-01,,,,,71.4,52.6,37.8,86.9,,,,161.8,,,,
1904-07-01,,,,,68.6,67.2,91.7,99.1,,,,93.9,,,,
1904-08-01,,,,,65,57.7,78,89.4,,,,71.9,,,,
1904-09-01,,,,,101.9,89.6,71.6,92.5,,,,65.5,,,,
1904-10-01,,,,,105.4,65.2,55.4,63,,,,93.3,,,,
1904-11-01,,,,,25.4,16.9,7.1,9.9,,,,85.2,,,,
1904-12-01,,,,,51.1,58.8,55.1,50.5,,,,92.5,,,,
1905-01-01,,,,,34.8,52.9,63.8,63,,,,171.3,,,,
1905-02-01,,,,,21.6,44.7,46.2,55.1,,,,112.3,,,,
1905-03-01,,,,,46.5,63.8,34,28.4,,,,275.9,,,,
1905-04-01,,,,,38.9,40.5,60.5,41.7,,,,332.1,,,,
1905-05-01,,,,,79.8,109.5,100.6,77.7,,,,133.7,,,,
1905-06-01,,,,,85.9,95.5,91.7,118.4,,,,129.9,,,,
1905-07-01,,,,,100.3,108.4,68.1,103.4,,,,120.5,,,,
1905-08-01,,,,,53.3,76,80.3,113.3,,,,83.8,,,,
1905-09-01,,,,,124.2,69,52.3,52.3,,,,80.6,,,,
1905-10-01,,,,,77,87.6,69.6,95.3,,,,75.3,,,,
1905-11-01,,,,,62,62.8,70.1,58.4,,,,111.6,,,,
1905-12-01,,,,,28.4,48.9,46.2,73.4,,,,157.2,,,,
1906-01-01,,,,,46.2,69.6,40.6,49.8,,,,182.6,,,,
1906-02-01,,,,,25.4,44.8,26.2,20.1,,,,177.4,,,,
1906-03-01,,,,,42.7,56.4,71.1,64.5,,,,163.1,,,,
1906-04-01,,,,,29,47.4,45.7,48.3,,,,240.9,,,,
1906-05-01,,,,,74.2,54.5,51.1,56.9,,,,205,,,,
1906-06-01,,,,,104.4,79.7,65,116.3,,,,138.5,,,,
1906-07-01,,,,,41.4,59.5,88.9,95.3,,,,103.8,,,,
1906-08-01,,,,,74.4,55.5,88.9,51.1,,,,68.8,,,,
1906-09-01,,,,,60.5,72.5,61.5,64.5,,,,44.2,,,,
1906-10-01,,,,,68.8,94.2,132.1,144,,,,83.1,,,,
1906-11-01,,,,,90.2,106.4,57.7,55.4,,,,115.8,,,,
1906-12-01,,,,,42.2,50.1,82,70.1,,,,192.8,,,,
1907-01-01,,,,,56.1,78.6,116.1,75.4,,,,403.4,,,,
1907-02-01,,,,,22.6,26.4,19.3,26.4,,,,179.3,,,,
1907-03-01,,,,,45,60.2,75.9,43.4,,,,242.4,,,,
1907-04-01,,,,,47.2,66.9,55.4,47.8,,,,261.3,,,,
1907-05-01,,,,,61,61.3,80.5,63.8,,,,202.4,,,,
1907-06-01,,,,,34,71.9,92.5,51.8,,,,95.5,,,,
1907-07-01,,,,,75.2,61.6,77.5,62,,,,84,,,,
1907-08-01,,,,,94,64.9,34,30.7,,,,54.1,,,,
1907-09-01,,,,,98.3,101.1,119.1,96,,,,36.1,,,,
1907-10-01,,,,,47.5,38,95,83.1,,,,60.3,,,,
1907-11-01,,,,,47.5,60.2,47.2,81.3,,,,132.1,,,,
1907-12-01,,,,,20.3,72.4,94,122.9,,,,194.5,,,,
1908-01-01,,,,,23.4,53,62.2,52.3,4.3,,,270.9,,,,
1908-02-01,,,,,53.6,88.8,102.9,76.7,4.6,,,306.9,,,,
1908-03-01,,,,,37.6,58.2,71.4,54.4,5.1,,,424.4,,,,
1908-04-01,,,,,63.2,64.6,74.7,59.4,51.4,,,331.5,,,,
1908-05-01,,,,,98,128.9,84.6,105.2,158.1,,,363.1,,,,
1908-06-01,,,,,78.7,48.5,53.3,46.2,212.4,,,168.8,,,,
1908-07-01,,,,,77,78.4,70.6,87.4,45.3,,,114,,,,
1908-08-01,,,,,52.3,54.5,89.9,61.5,23.1,,,74.2,,,,
1908-09-01,,,,,63,36.8,15.2,32.5,8.5,,,43.2,,,,
1908-10-01,,,,,31.8,21.2,32,41.7,10.9,,,53.9,,,,
1908-11-01,,,,,54.4,61.9,34,41.1,7.8,,,73.6,,,,
1908-12-01,,,,,49.8,64.1,51.8,40.6,6.7,,,62.5,,,,
1909-01-01,,,,,33.8,56.8,68.8,71.1,7.2,,,147.7,,,,
1909-02-01,,,,,41.7,68.1,103.1,78.2,7.1,,,260,,,,
1909-03-01,,,,,32.5,45.4,68.1,63.5,8.8,,,393,,,,
1909-04-01,,,,,50.8,112,81,99.6,17.4,,,431.8,,,,
1909-05-01,,,,,46.2,71,106.7,105.7,90.3,,,413.8,,,,
1909-06-01,,,,,28.4,57.5,78.7,32.8,41.3,,,202.5,,,,
1909-07-01,,,,,130.3,71.1,83.8,94.5,43.1,,,60.2,,,,
1909-08-01,,,,,72.1,51.5,73.4,56.4,95.6,,,40.3,,,,
1909-09-01,,,,,64,64.6,56.9,52.6,31.4,,,38.4,,,,
1909-10-01,,,,,53.6,43.6,51.6,61.5,39.9,,,49.8,,,,
