DATE,Precipitation,Evaporation,Runoff
1900-01-01,39.9,,
1900-02-01,36.6,,
1900-03-01,27.9,,
1900-04-01,39.9,,
1900-05-01,28.2,,
1900-06-01,59.9,,
1900-07-01,96.8,,
1900-08-01,133.1,,
1900-09-01,187.5,,
1900-10-01,70.1,,
1900-11-01,48.8,,
1900-12-01,27.9,,
1901-01-01,34.8,,
1901-02-01,16.8,,
1901-03-01,57.7,,
1901-04-01,30,,
1901-05-01,39.9,,
1901-06-01,107.7,,
1901-07-01,124.5,,
1901-08-01,64.3,,
1901-09-01,69.3,,
1901-10-01,87.9,,
1901-11-01,46.2,,
1901-12-01,45.5,,
1902-01-01,32.5,,
1902-02-01,31.5,,
1902-03-01,19.6,,
1902-04-01,44.7,,
1902-05-01,64.3,,
1902-06-01,93.5,,
1902-07-01,72.6,,
1902-08-01,60.2,,
1902-09-01,67.1,,
1902-10-01,67.1,,
1902-11-01,71.9,,
1902-12-01,54.4,,
1903-01-01,30.7,,
1903-02-01,31.5,,
1903-03-01,56.4,,
1903-04-01,52.8,,
1903-05-01,97.8,,
1903-06-01,39.4,,
1903-07-01,108.7,,
1903-08-01,78.2,,
1903-09-01,101.3,,
1903-10-01,78.2,,
1903-11-01,50.8,,
1903-12-01,43.4,,
1904-01-01,30.5,,
1904-02-01,30,,
1904-03-01,47,,
1904-04-01,29.5,,
1904-05-01,94.7,,
1904-06-01,71.4,,
1904-07-01,68.6,,
1904-08-01,65,,
1904-09-01,101.9,,
1904-10-01,105.4,,
1904-11-01,25.4,,
1904-12-01,51.1,,
1905-01-01,34.8,,
1905-02-01,21.6,,
1905-03-01,46.5,,
1905-04-01,38.9,,
1905-05-01,79.8,,
1905-06-01,85.9,,
1905-07-01,100.3,,
1905-08-01,53.3,,
1905-09-01,124.2,,
1905-10-01,77,,
1905-11-01,62,,
1905-12-01,28.4,,
1906-01-01,46.2,,
1906-02-01,25.4,,
1906-03-01,42.7,,
1906-04-01,29,,
1906-05-01,74.2,,
1906-06-01,104.4,,
1906-07-01,41.4,,
1906-08-01,74.4,,
1906-09-01,60.5,,
1906-10-01,68.8,,
1906-11-01,90.2,,
1906-12-01,42.2,,
1907-01-01,56.1,,
1907-02-01,22.6,,
1907-03-01,45,,
1907-04-01,47.2,,
1907-05-01,61,,
1907-06-01,34,,
1907-07-01,75.2,,
1907-08-01,94,,
1907-09-01,98.3,,
1907-10-01,47.5,,
1907-11-01,47.5,,
1907-12-01,20.3,,
1908-01-01,23.4,,4.3
1908-02-01,53.6,,4.6
1908-03-01,37.6,,5.1
