DATE,MHG_PREC,MHG_EVAP,MHG_RUNO
1900-01-01,38.5,,
1900-02-01,82.5,,
1900-03-01,36.8,,
1900-04-01,43.8,,
1900-05-01,67.6,,
1900-06-01,56,,
1900-07-01,113.2,,
1900-08-01,77.5,,
1900-09-01,94.7,,
1900-10-01,67.2,,
1900-11-01,94.1,,
1900-12-01,30.8,,
1901-01-01,45.8,,
1901-02-01,37,,
1901-03-01,68.4,,
1901-04-01,30,,
1901-05-01,60.6,,
1901-06-01,59.6,,
1901-07-01,103.1,,
1901-08-01,57.9,,
1901-09-01,68.4,,
1901-10-01,71.9,,
1901-11-01,46.2,,
1901-12-01,60.3,,
1902-01-01,26,,
1902-02-01,39.4,,
1902-03-01,68.8,,
1902-04-01,46.8,,
1902-05-01,93.1,,
1902-06-01,105.6,,
1902-07-01,127.3,,
1902-08-01,48.8,,
1902-09-01,85,,
1902-10-01,65.1,,
1902-11-01,63.3,,
1902-12-01,55.3,,
1903-01-01,51.4,,
1903-02-01,54.6,,
1903-03-01,61.4,,
1903-04-01,54.7,,
1903-05-01,62.6,,
1903-06-01,58,,
1903-07-01,96.6,,
1903-08-01,109.8,,
1903-09-01,90.9,,
1903-10-01,63.5,,
1903-11-01,47.5,,
1903-12-01,69.5,,
1904-01-01,41.5,,
1904-02-01,54.3,,
1904-03-01,82.3,,
1904-04-01,53.7,,
1904-05-01,107.2,,
1904-06-01,52.6,,
1904-07-01,67.2,,
1904-08-01,57.7,,
1904-09-01,89.6,,
1904-10-01,65.2,,
1904-11-01,16.9,,
1904-12-01,58.8,,
1905-01-01,52.9,,
1905-02-01,44.7,,
1905-03-01,63.8,,
1905-04-01,40.5,,
1905-05-01,109.5,,
1905-06-01,95.5,,
1905-07-01,108.4,,
1905-08-01,76,,
1905-09-01,69,,
1905-10-01,87.6,,
1905-11-01,62.8,,
1905-12-01,48.9,,
1906-01-01,69.6,,
1906-02-01,44.8,,
1906-03-01,56.4,,
1906-04-01,47.4,,
1906-05-01,54.5,,
1906-06-01,79.7,,
1906-07-01,59.5,,
1906-08-01,55.5,,
1906-09-01,72.5,,
1906-10-01,94.2,,
1906-11-01,106.4,,
1906-12-01,50.1,,
1907-01-01,78.6,,
1907-02-01,26.4,,
1907-03-01,60.2,,
1907-04-01,66.9,,
1907-05-01,61.3,,
1907-06-01,71.9,,
1907-07-01,61.6,,
1907-08-01,64.9,,
1907-09-01,101.1,,
1907-10-01,38,,
1907-11-01,60.2,,
1907-12-01,72.4,,
1908-01-01,53,,
1908-02-01,88.8,,
1908-03-01,58.2,,
1908-04-01,64.6,,
1908-05-01,128.9,,
1908-06-01,48.5,,
1908-07-01,78.4,,
1908-08-01,54.5,,
1908-09-01,36.8,,
1908-10-01,21.2,,
1908-11-01,61.9,,
1908-12-01,64.1,,
1909-01-01,56.8,,
