DATE,ERI_PREC,ERI_EVAP,ERI_RUNO
1900-01-01,55.1,,
1900-02-01,108.5,,
1900-03-01,65.8,,
1900-04-01,43.2,,
1900-05-01,47.8,,
1900-06-01,69.6,,
1900-07-01,125.7,,
1900-08-01,73.7,,
1900-09-01,49.3,,
1900-10-01,55.4,,
1900-11-01,100.3,,
1900-12-01,22.9,,
1901-01-01,49.3,,
1901-02-01,43.7,,
1901-03-01,66,,
1901-04-01,69.1,,
1901-05-01,75.9,,
1901-06-01,61.5,,
1901-07-01,77.7,,
1901-08-01,79.5,,
1901-09-01,65.8,,
1901-10-01,31.8,,
1901-11-01,58.2,,
1901-12-01,100.1,,
1902-01-01,39.9,,
1902-02-01,28.2,,
1902-03-01,57.7,,
1902-04-01,41.1,,
1902-05-01,94,,
1902-06-01,151.9,,
1902-07-01,156,,
1902-08-01,34,,
1902-09-01,124,,
1902-10-01,59.9,,
1902-11-01,43.9,,
1902-12-01,69.6,,
1903-01-01,51.1,,
1903-02-01,83.6,,
1903-03-01,62.7,,
1903-04-01,100.8,,
1903-05-01,49.3,,
1903-06-01,104.9,,
1903-07-01,138.9,,
1903-08-01,117.9,,
1903-09-01,47.8,,
1903-10-01,61.5,,
1903-11-01,41.4,,
1903-12-01,58.7,,
1904-01-01,105.9,,
1904-02-01,71.6,,
1904-03-01,101.1,,
1904-04-01,67.8,,
1904-05-01,80.8,,
1904-06-01,37.8,,
1904-07-01,91.7,,
1904-08-01,78,,
1904-09-01,71.6,,
1904-10-01,55.4,,
1904-11-01,7.1,,
1904-12-01,55.1,,
1905-01-01,63.8,,
1905-02-01,46.2,,
1905-03-01,34,,
1905-04-01,60.5,,
1905-05-01,100.6,,
1905-06-01,91.7,,
1905-07-01,68.1,,
1905-08-01,80.3,,
1905-09-01,52.3,,
1905-10-01,69.6,,
1905-11-01,70.1,,
1905-12-01,46.2,,
1906-01-01,40.6,,
1906-02-01,26.2,,
1906-03-01,71.1,,
1906-04-01,45.7,,
1906-05-01,51.1,,
1906-06-01,65,,
1906-07-01,88.9,,
1906-08-01,88.9,,
1906-09-01,61.5,,
1906-10-01,132.1,,
