DATE,ONT_PREC,ONT_EVAP,ONT_RUNO
1900-01-01,78.5,,
1900-02-01,117.6,,
1900-03-01,83.3,,
1900-04-01,39.6,,
1900-05-01,34.5,,
1900-06-01,58.9,,
1900-07-01,92.2,,
1900-08-01,44.7,,
1900-09-01,71.4,,
1900-10-01,70.4,,
1900-11-01,119.4,,
1900-12-01,55.4,,
1901-01-01,62.7,,115.9
1901-02-01,46.7,,70.1
1901-03-01,82.8,,201
1901-04-01,105.9,,383.5
1901-05-01,95,,232.1
1901-06-01,69.1,,147.8
1901-07-01,91.7,,93.7
1901-08-01,78.7,,59.5
1901-09-01,80.8,,63.4
1901-10-01,37.6,,66
1901-11-01,56.9,,75.1
1901-12-01,111.8,,190.4
1902-01-01,64.5,,184.4
1902-02-01,62.5,,119.2
1902-03-01,64.5,,392.3
1902-04-01,75.9,,252.7
1902-05-01,55.9,,139
1902-06-01,100.1,,127.3
1902-07-01,146,,170.5
1902-08-01,51.8,,148.1
1902-09-01,73.9,,62.6
1902-10-01,72.9,,98.4
1902-11-01,43.2,,118.7
1902-12-01,72.1,,108.3
1903-01-01,71.4,,194
1903-02-01,72.1,,189.6
1903-03-01,70.6,,358.9
1903-04-01,79.8,,333.2
1903-05-01,29.7,,138.4
1903-06-01,126,,92.1
1903-07-01,85.6,,89.9
1903-08-01,114.6,,74.1
1903-09-01,23.1,,88.8
1903-10-01,71.6,,167.9
1903-11-01,47,,166.3
1903-12-01,78.2,,135.5
1904-01-01,91.7,,168.9
1904-02-01,81.3,,248.6
1904-03-01,86.4,,463.4
1904-04-01,85.1,,614.2
1904-05-01,90.2,,355.3
1904-06-01,86.9,,161.8
1904-07-01,99.1,,93.9
1904-08-01,89.4,,71.9
1904-09-01,92.5,,65.5
1904-10-01,63,,93.3
1904-11-01,9.9,,85.2
1904-12-01,50.5,,92.5
1905-01-01,63,,171.3
1905-02-01,55.1,,112.3
1905-03-01,28.4,,275.9
1905-04-01,41.7,,332.1
1905-05-01,77.7,,133.7
1905-06-01,118.4,,129.9
1905-07-01,103.4,,120.5
1905-08-01,113.3,,83.8
1905-09-01,52.3,,80.6
1905-10-01,95.3,,75.3
1905-11-01,58.4,,111.6
1905-12-01,73.4,,157.2
1906-01-01,49.8,,182.6
1906-02-01,20.1,,177.4
1906-03-01,64.5,,163.1
1906-04-01,48.3,,240.9
1906-05-01,56.9,,205
1906-06-01,116.3,,138.5
1906-07-01,95.3,,103.8
1906-08-01,51.1,,68.8
1906-09-01,64.5,,44.2
1906-10-01,144,,83.1
1906-11-01,55.4,,115.8
1906-12-01,70.1,,192.8
1907-01-01,75.4,,403.4
1907-02-01,26.4,,179.3
1907-03-01,43.4,,242.4
1907-04-01,47.8,,261.3
1907-05-01,63.8,,202.4
1907-06-01,51.8,,95.5
1907-07-01,62,,84
1907-08-01,30.7,,54.1
1907-09-01,96,,36.1
1907-10-01,83.1,,60.3
1907-11-01,81.3,,132.1
1907-12-01,122.9,,194.5
1908-01-01,52.3,,270.9
1908-02-01,76.7,,306.9
1908-03-01,54.4,,424.4
1908-04-01,59.4,,331.5
1908-05-01,105.2,,363.1
1908-06-01,46.2,,168.8
1908-07-01,87.4,,114
1908-08-01,61.5,,74.2
1908-09-01,32.5,,43.2
1908-10-01,41.7,,53.9
1908-11-01,41.1,,73.6
1908-12-01,40.6,,62.5
1909-01-01,71.1,,147.7
1909-02-01,78.2,,260
1909-03-01,63.5,,393
1909-04-01,99.6,,431.8
1909-05-01,105.7,,413.8
1909-06-01,32.8,,202.5
1909-07-01,94.5,,60.2
1909-08-01,56.4,,40.3
1909-09-01,52.6,,38.4
1909-10-01,61.5,,49.8
1909-11-01,85.9,,63.8
1909-12-01,81.3,,71.9
1910-01-01,76.7,,211.3
1910-02-01,84.1,,248.2
1910-03-01,27.2,,621.9
1910-04-01,83.6,,235.2
1910-05-01,71.1,,146.9
1910-06-01,33.5,,89.1
1910-07-01,85.9,,32.5
1910-08-01,83.8,,24.4
1910-09-01,63.8,,26.5
1910-10-01,97.5,,23.6
1910-11-01,67.6,,75.2
1910-12-01,70.4,,84
1911-01-01,46.7,,190.3
1911-02-01,56.4,,140.8
1911-03-01,61,,211.9
1911-04-01,35.6,,392.6
1911-05-01,43.2,,188.2
1911-06-01,68.3,,93.2
1911-07-01,67.1,,52
1911-08-01,59.4,,32.3
1911-09-01,78.2,,49.1
1911-10-01,80.3,,72.6
1911-11-01,78,,126.1
1911-12-01,68.1,,219.9
1912-01-01,73.9,,152.5
1912-02-01,45,,78.4
1912-03-01,43.7,,210
1912-04-01,67.6,,528.8
1912-05-01,143.8,,282.3
1912-06-01,30.5,,139.9
1912-07-01,56.9,,49.6
1912-08-01,103.9,,34.9
1912-09-01,105.9,,64.9
1912-10-01,72.4,,104.8
1912-11-01,84.6,,120.7
1912-12-01,53.3,,185.7
1913-01-01,114.3,,383.9
1913-02-01,38.6,,66.1
1913-03-01,108.2,,435.3
1913-04-01,98,,216.9
1913-05-01,63.2,,121.2
1913-06-01,47.5,,44.8
